"City Council District","Agency","Site","Address","Borough","Environmental Justice Area","Installation Date","Installed or Estimated Capacity","Percentage of Max Peak Demand","Estimated Annual Production","Percentage of Annual Electricity Consumption","Estimated Annual Emissions Reduction","Estimated Social Cost of Carbon Value","Estimated Annual Energy Savings","Upfront Project Cost","Financing Mechanism","Status","Solar-Readiness Assessment","Total Gross Square Footage","Roof Condition","Roof Age","Other Sustaibility Projects","Year of Report","Data Current as of","Postcode","Latitude","Longitude","Community Board","Census Tract","BIN","BBL","NTA"
"1","CUNY","BMCC (Borough of Manhattan Community College)","199 Chambers St","Manhattan","No","11/29/2017","309.67","9.20%","340637","0.124363782","98 MT CO2","$13,980","$47,689","$4,200,000","Capital","Completed",,,,,,"2022","07/07/2022","10007","40.716838","-74.012117","101","39","1066406","1001420050","SoHo-TriBeCa-Civic Center-Little Italy"
"1","DCAS","City Hall_Solar PV","City Hall Park","Manhattan","No","4/17/2015","10.45","4.70%","11495","0.026346852","3 MT CO2","$472","$1,839","$1,297","Capital","Completed",,,,,,"2022","07/07/2022","10007","40.712386","-74.006879","101","31","1000000","1001220001","SoHo-TriBeCa-Civic Center-Little Italy"
"1","DCLA","Museum of Jewish Heritage","36 Battery Pl","Manhattan","No","1/1/2003","36.63","5.20%","40293","0.041560898","12 MT CO2","$1,654","$4,835","N/A","Capital","Completed",,,,,,"2022","07/07/2022","10280","40.705806","-74.018001","101","31704","1084594","1000160010","Battery Park City-Lower Manhattan"
"1","DOE","M276","55 Battery Pl","Manhattan","No","7/1/2010","48.8","6.90%","53680","0.009298652","16 MT CO2","$2,203","$8,589","$231,500","Capital","Completed",,,,,,"2022","07/07/2022","10280","40.70644","-74.017818","101","31704","1087945","1000160040","Battery Park City-Lower Manhattan"
"1","DOT","Whitehall Ferry Termil","4 South St","Manhattan","No","7/1/2005","59","9.60%","64900","0.026359612","19 MT CO2","$2,664","$7,788","$236,000","Capital","Completed",,,,,,"2022","07/07/2022","10004","40.701695","-74.011631","101","9","1085792","1000020001","Battery Park City-Lower Manhattan"
"1","DPR","Washington Square Park CS","Washington Square Park","Manhattan","No","7/1/2013","10.56","22.60%","11616","0.093484419","3 MT CO2","$477","$1,626","N/A","Capital","Completed",,,,,,"2022","07/07/2022","10011","40.730883","-73.997593","102","65","1000000","1005490001","West Village"
"2","DOE","M022 - NEST","111 Columbia St","Manhattan","Yes","7/1/2014","125.89","29.30%","138479","0.201723578","40 MT CO2","$5,683","$24,926","$905,386","Capital","Completed",,,,,,"2022","07/07/2022","10002","40.718895","-73.979308","103","2201","1004070","1003350001","Lower East Side"
"3","DOE","M070_I.S. 70 Manhattan","333 West 17 St","Manhattan","No","4/21/2016","159.21","18.20%","175131","0.283929761","51 MT CO2","$7,187","$52,539","$650,690","Capital","Completed",,,,,,"2022","07/07/2022","10011","40.742129","-74.002198","104","83","1079152","1007410010","Hudson Yards-Chelsea-Flatiron-Union Square"
"4","DOE","M006_Lillie D. Blake","45 East 81 St","Manhattan","No","1/1/2009","21.4","8.70%","23540","0.068858597","7 MT CO2","$966","$4,473","N/A","Capital","Completed",,,,,,"2022","07/07/2022","10028","40.777455","-73.960713","108","142","1046668","1014930021","Upper East Side-Carnegie Hill"
"6","DOE","M470 - Brandeis","145 West 84th St","Manhattan","No","1/20/2012","46.8","5.30%","51480","0.045497932","15 MT CO2","$2,113","$10,788","$392,500","Capital","Completed",,,,,,"2022","07/07/2022","10024","40.785803","-73.974614","107","169","1032128","1012150001","Upper West Side"
